edge_cluster,edge_id,sensors,rows,rows_per_day,natural_events_per_second,load_share_pct,target_events_per_second
0,edge-0,11,124410,4013.225806451613,0.04644937275985663,5.905209076962803,147.6302269240701
1,edge-1,12,171649,5537.064516129032,0.06408639486260453,8.147441788052312,203.6860447013078
2,edge-2,12,189420,6110.322580645161,0.07072132616487455,8.990954934155567,224.77387335388917
3,edge-3,12,145178,4683.1612903225805,0.054203255675029864,6.890976958245363,172.2744239561341
4,edge-4,11,133862,4318.129032258064,0.049978345280764634,6.353854975165941,158.84637437914853
5,edge-5,12,145501,4693.58064516129,0.05432385005973715,6.906308382824248,172.65770957060622
6,edge-6,11,160171,5166.806451612903,0.05980100059737157,7.602630359828062,190.06575899570154
7,edge-7,12,149836,4833.419354838709,0.05594235364396654,7.112072239014536,177.80180597536338
8,edge-8,12,221171,7134.548387096775,0.08257579151732378,10.498038716830964,262.4509679207741
9,edge-9,12,155365,5011.774193548387,0.05800664575866189,7.3745101538648505,184.36275384662127
10,edge-10,11,167737,5410.870967741936,0.06262582138590203,7.961755927517963,199.04389818794908
11,edge-11,11,196973,6353.967741935484,0.07354129330943847,9.349463447605451,233.7365861901363
12,edge-12,11,145511,4693.903225806452,0.054327583632019116,6.9067830399319545,172.66957599829885
