"edge_id","telemetry_received","ingress_queue_capacity","max_ingress_queue_depth","max_ingress_queue_utilization_pct","ingress_accepted","ingress_queue_dropped","invalid_telemetry","out_of_order_dropped","post_eos_dropped","processed","aggregates_emitted","end_of_replay_processed"
"edge-0","124410","5000","1301","26,02","124410","0","0","0","0","124410","8124","1"
"edge-1","171649","5000","540","10,8","171649","0","0","0","0","171649","8124","1"
"edge-2","189420","5000","1032","20,64","189420","0","0","0","0","189420","8124","1"
"edge-3","145178","5000","957","19,139999999999997","145178","0","0","0","0","145178","8124","1"
"edge-4","133862","5000","740","14,799999999999999","133862","0","0","0","0","133862","8124","1"
"edge-5","145501","5000","1100","22","145501","0","0","0","0","145501","8124","1"
"edge-6","160171","5000","781","15,620000000000001","160171","0","0","0","0","160171","8124","1"
"edge-7","149836","5000","762","15,24","149836","0","0","0","0","149836","8124","1"
"edge-8","221171","5000","902","18,04","221171","0","0","0","0","221171","8124","1"
"edge-9","155365","5000","993","19,86","155365","0","0","0","0","155365","8124","1"
"edge-10","167737","5000","1102","22,040000000000003","167737","0","0","0","0","167737","8124","1"
"edge-11","196973","5000","1119","22,38","196973","0","0","0","0","196973","8120","1"
"edge-12","145511","5000","1001","20,02","145511","0","0","0","0","145511","8124","1"
