"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_s","drain_duration_s","throughput_eps","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","5000","124410","0","0,977799","115,508051","62,530877345","0,000091496","1989,5610821770726","1","0"
"edge-1","completato","171649","171649","0","5000","171649","0","1,132142","69,161001","62,533715027","0,057679509","2744,887296810817","1","0"
"edge-2","completato","189420","189420","0","5000","189420","0","1,406089","131,103021","62,539878093","0,000328497","3028,771493899049","1","0"
"edge-3","completato","145178","145178","0","5000","145178","0","1,025812","97,887954","62,532442686","0,002645681","2321,6268830084064","1","0"
"edge-4","completato","133862","133862","0","5000","133862","0","1,130268","127,069167","62,531320941","0,000254015","2140,703218572681","1","0"
"edge-5","completato","145501","145501","0","5000","145501","0","1,244358","110,652834","62,530276189","0,000268376","2326,8728185402706","1","0"
"edge-6","completato","160171","160171","0","5000","160171","0","1,123129","119,234999","62,529715225","0,000400656","2561,502150196303","1","0"
"edge-7","completato","149836","149836","0","5000","149836","0","1,456227","101,986642","62,533023035","0,000207866","2396,093979274546","1","0"
"edge-8","completato","221171","221171","0","5000","221171","0","1,772115","140,190241","62,529994757","0,000302289","3537,022525901313","1","0"
"edge-9","completato","155365","155365","0","5000","155365","0","1,310351","116,545673","62,529848317","0,000503383","2484,637404082126","1","0"
"edge-10","completato","167737","167737","0","5000","167737","0","1,084512","90,442445","62,532877945","0,000260992","2682,364949643451","1","0"
"edge-11","completato","196973","196973","0","5000","196973","0","1,824095","164,003808","62,532571775","0,001157574","3149,910429219669","1","0"
"edge-12","completato","145511","145511","0","5000","145511","0","1,049277","75,734483","62,533118531","0,000611677","2326,9269695523863","1","0"
